date,ticker,mom_1m,mom_3m,momentum_score
2026-04-06,SBUX,-0.039619,0.136016,0.761929
2026-04-06,TSLA,-0.130021,-0.194604,-0.567657
2026-04-07,NKE,-0.251184,-0.334056,-1.296058
2026-04-07,TGT,-0.010514,0.182523,1.150205
2026-04-07,DIS,-0.056726,-0.16034,-0.106687
2026-04-07,SBUX,-0.038186,0.107024,0.816919
2026-04-07,TSLA,-0.126232,-0.232515,-0.56438
2026-04-08,NKE,-0.237042,-0.335635,-1.311001
2026-04-08,TGT,0.024804,0.192447,1.189256
2026-04-08,DIS,-0.024395,-0.134328,-0.000767
2026-04-08,SBUX,-0.025659,0.093639,0.716787
2026-04-08,TSLA,-0.139034,-0.207202,-0.594275
2026-04-09,NKE,-0.215407,-0.299398,-1.260557
2026-04-09,TGT,0.027249,0.20856,1.206599
2026-04-09,DIS,-0.015101,-0.116199,-3.2e-05
2026-04-09,SBUX,-0.038206,0.125217,0.717522
2026-04-09,TSLA,-0.134305,-0.19886,-0.663533
2026-04-10,NKE,-0.234829,-0.342585,-1.347828
2026-04-10,TGT,0.026183,0.157996,1.147785
2026-04-10,DIS,-0.017048,-0.131383,0.057878
2026-04-10,SBUX,-0.047713,0.102551,0.723958
2026-04-10,TSLA,-0.144353,-0.199289,-0.581793
2026-04-13,NKE,-0.207279,-0.344739,-1.396414
2026-04-13,TGT,0.018402,0.128496,1.035363
2026-04-13,DIS,0.0176,-0.126855,0.144116
2026-04-13,SBUX,-0.026951,0.103833,0.791751
2026-04-13,TSLA,-0.10782,-0.208063,-0.574816
2026-04-14,NKE,-0.181178,-0.322161,-1.442579
2026-04-14,TGT,0.018664,0.137608,0.998299
2026-04-14,DIS,0.033236,-0.090675,0.207465
2026-04-14,SBUX,-0.006858,0.101657,0.770819
2026-04-14,TSLA,-0.069018,-0.188792,-0.534004
2026-04-15,NKE,-0.170652,-0.310081,-1.567141
2026-04-15,TGT,0.049722,0.142591,1.021584
2026-04-15,DIS,0.044395,-0.08798,0.114252
2026-04-15,SBUX,0.005316,0.092913,0.659708
2026-04-15,TSLA,-0.009126,-0.123547,-0.228403
2026-04-16,NKE,-0.1709,-0.298409,-1.540189
2026-04-16,TGT,0.061237,0.139776,1.063027
2026-04-16,DIS,0.035892,-0.084823,0.092361
2026-04-16,SBUX,0.008097,0.086059,0.648045
2026-04-16,TSLA,-0.025972,-0.114526,-0.263245
2026-04-17,NKE,-0.139143,-0.282621,-1.551658
2026-04-17,TGT,0.111169,0.162064,1.068092
2026-04-17,DIS,0.069101,-0.062781,0.061979
2026-04-17,SBUX,0.079214,0.078955,0.634366
2026-04-17,TSLA,0.01996,-0.086531,-0.212778
2026-04-20,NKE,-0.13024,-0.273245,-1.504242
2026-04-20,TGT,0.137241,0.18174,1.221985
2026-04-20,DIS,0.071573,-0.044065,0.12211
2026-04-20,SBUX,0.032558,0.070955,0.408915
2026-04-20,TSLA,0.03208,-0.102857,-0.248769
2026-04-21,NKE,-0.114187,-0.266102,-1.433638
2026-04-21,TGT,0.166343,0.220446,1.342465
2026-04-21,DIS,0.048035,-0.05483,-0.081938
2026-04-21,SBUX,0.056726,0.050936,0.332291
2026-04-21,TSLA,0.050169,-0.078306,-0.159179
2026-04-22,NKE,-0.133371,-0.297,-1.435583
2026-04-22,TGT,0.136344,0.244137,1.318687
2026-04-22,DIS,0.070138,-0.073946,0.013349
2026-04-22,SBUX,0.060642,0.0387,0.363724
2026-04-22,TSLA,0.017487,-0.101822,-0.260178
2026-04-23,NKE,-0.162834,-0.311377,-1.38074
2026-04-23,TGT,0.12293,0.234684,1.253145
2026-04-23,DIS,0.075319,-0.084445,0.091904
2026-04-23,SBUX,0.082192,0.045413,0.524847
2026-04-23,TSLA,-0.024306,-0.168328,-0.489156
2026-04-24,NKE,-0.156474,-0.308324,-1.405132
2026-04-24,TGT,0.110767,0.207906,1.258751
